Year,SiteCode_Plot_Quadrant,AcceptedSpecies,PercentCoverAlive,PercentCoverDead,Comment
2022,eerste_E3_NE,Commelina benghalensis,80,0,NA
2022,eerste_E3_NE,Chasmanthe floribunda,10,0,NA
2022,eerste_E3_NE,Galium sp.,5,0,NA
2022,eerste_E3_NE,Quercus rober,5,0,NA
2022,eerste_E2_NE,Tropaeolum majus,80,0,NA
2022,eerste_E2_NE,Pennisetum clandestinum,20,0,NA
2022,eerste_E1_NE,Lolium perenne,30,0,Quadrant Wide Comment: 50% Bare Ground
2022,eerste_E1_NE,Avena sativa,10,0,Quadrant Wide Comment: 50% Bare Ground
2022,eerste_E1_NE,Echium plantagineum,5,0,Quadrant Wide Comment: 50% Bare Ground
2022,berg_Gauge1160295_NE,Tropaeolum majus,55,0,NA
2022,berg_Gauge1160295_NE,Pennisetum clandestinum,45,0,NA
2022,berg_Gauge1160295_NE,Melia azedarach,5,0,NA
2022,berg_Gauge1160265_NE,Arctotheca calendula,60,0,NA
2022,berg_Gauge1160265_NE,Dimorphotheca pluvialis,20,0,NA
2022,berg_Gauge1160265_NE,Cissampelos capensis,5,0,NA
2022,berg_Gauge1160265_NE,Ehrharta longiflora,5,0,NA
2022,berg_Gauge1160265_NE,Lolium perenne,10,0,NA
2022,berg_Gauge1160263_NE,Commelina benghalensis,60,0,NA
2022,berg_Gauge1160263_NE,Rumex cordatus,30,0,NA
2022,berg_Gauge1160263_NE,Sesbania sesban,5,0,NA
2022,berg_Gauge1160263_NE,Typha latifolia,5,0,NA
2022,berg_Gauge1160266_NE,Avena sativa,20,0,NA
2022,berg_Gauge1160266_NE,Ehrharta calycina,20,0,NA
2022,berg_Gauge1160266_NE,Bromus sp.,15,0,NA
2022,berg_Gauge1160266_NE,Galenia africana,25,0,NA
2022,berg_Gauge1160266_NE,Buddleja saligna,20,0,NA
2023,eerste_E4_NW,Protea sp.,10,0,NA
2023,eerste_E4_NW,Pteridium aquilinum,55,0,NA
2023,eerste_E4_NW,Podalyria calyptrata,10,0,NA
2023,eerste_E4_NW,redtop shrub- unidentified,5,0,NA
2023,eerste_E4_NW,Cyclopia genistoides,5,0,NA
2023,eerste_E4_NW,Phylica sp.,5,0,NA
2023,eerste_E4_NE,Danthonia sp.,50,0,NA
2023,eerste_E4_NE,Trifoliate plume- unidentified,5,0,NA
2023,eerste_E4_NE,Pteridium aquilinum,20,0,NA
2023,eerste_E4_NE,Cyclopia genistoides,5,0,NA
2023,eerste_E4_NE,Podalyria calyptrata,5,0,NA
2023,eerste_E4_SW,Podalyria calyptrata,30,0,NA
2023,eerste_E4_SW,Cyclopia genistoides,30,0,NA
2023,eerste_E4_SW,Danthonia sp.,30,0,NA
2023,eerste_E4_SW,Pteridium aquilinum,5,0,NA
2023,eerste_E4_SW,Protea sp.,5,0,NA
2023,eerste_E4_SE,Danthonia sp.,25,0,NA
2023,eerste_E4_SE,Podalyria calyptrata,10,0,NA
2023,eerste_E4_SE,Ursinia paleacea,5,0,NA
2023,eerste_E4_SE,Cuscuta sp.,5,0,NA
2023,eerste_E4_SE,Pteridium aquilinum,15,0,NA
2023,eerste_E4_SE,Protea sp.,5,0,NA
2023,eerste_E4_SE,Restio sp.,10,0,NA
2023,eerste_E3_NW,Quercus robur,100,0,NA
2023,eerste_E3_NE,Quercus robur,100,0,NA
2023,eerste_E3_SW,Quercus robur,100,0,NA
2023,eerste_E3_SE,Quercus robur,100,0,NA
2023,eerste_E2_NW,Melia azedarach,10,0,NA
2023,eerste_E2_NW,Ricinus communis,10,0,NA
2023,eerste_E2_NW,Colocasia esculenta,10,0,NA
2023,eerste_E2_NW,Sesbania sesban,5,0,NA
2023,eerste_E2_NW,Bromus catharticus,40,0,NA
2023,eerste_E2_NW,Tropaeolum majus,15,0,NA
2023,eerste_E2_NW,Lolium perenne,5,0,NA
2023,eerste_E2_NE,Colocasia esculenta,35,0,NA
2023,eerste_E2_NE,Bromus catharticus,25,0,NA
2023,eerste_E2_NE,Tropaeolum majus,25,0,NA
2023,eerste_E2_NE,Ricinus communis,7,0,NA
2023,eerste_E2_SW,Melia azedarach,25,0,NA
2023,eerste_E2_SW,Ricinus communis,50,0,NA
2023,eerste_E2_SW,Tropaeolum majus,15,0,NA
2023,eerste_E2_SW,Bromus catharticus,10,0,NA
2023,eerste_E2_SE,Bromus catharticus,50,0,NA
2023,eerste_E2_SE,Tropaeolum majus,30,0,NA
2023,eerste_E2_SE,Helminthotheca echioides,5,0,NA
2023,eerste_E2_SE,Torilis africana,5,0,NA
2023,eerste_E2_SE,Lolium perenne,5,0,NA
2023,eerste_E1_NW,Olea europaea,85,0,NA
2023,eerste_E1_NW,Populus canescens,5,0,NA
2023,eerste_E1_NW,Pennisetum clandestinum,5,0,NA
2023,eerste_E1_NE,Olea europaea,50,0,NA
2023,eerste_E1_NE,Malva multiflora,10,0,NA
2023,eerste_E1_NE,Echium plantagineum,15,0,NA
2023,eerste_E1_NE,Senecio pterophorus,5,0,NA
2023,eerste_E1_NE,Pennisetum clandestinum,5,0,NA
2023,eerste_E1_SW,Olea europaea,10,0,NA
2023,eerste_E1_SW,Populus canescens,7,0,NA
2023,eerste_E1_SW,Pennisetum clandestinum,5,0,NA
2023,eerste_E1_SW,Lolium multiflorum,5,0,NA
2023,eerste_E1_SE,Olea europaea,40,0,NA
2023,eerste_E1_SE,Echium plantagineum,5,0,NA
2023,eerste_E1_SE,Senecio pterophorus,5,0,NA
2023,eerste_E1_SE,Ehrharta longiflora,10,0,NA
2023,berg_B29_NW,Rush- unidentified,30,0,NA
2023,berg_B29_NW,Cyperus papyrus,35,0,NA
2023,berg_B29_NW,Cynodon dactylon,10,0,NA
2023,berg_B29_NW,Pennisetum clandestinum,15,0,NA
2023,berg_B29_NE,Cyperus papyrus,15,0,NA
2023,berg_B29_NE,Lolium perenne,20,0,NA
2023,berg_B29_NE,Pennisetum clandestinum,65,0,NA
2023,berg_B29_SW,Nothoscordum gracile,20,0,NA
2023,berg_B29_SW,Lolium perenne,20,0,NA
2023,berg_B29_SW,Rush- unidentified,5,0,NA
2023,berg_B29_SW,Cynodon dactylon,20,0,NA
2023,berg_B29_SW,Pennisetum clandestinum,15,0,NA
2023,berg_B29_SE,Nothoscordum gracile,15,0,NA
2023,berg_B29_SE,Lolium perenne,20,0,NA
2023,berg_B29_SE,Bromus diandrus,5,0,NA
2023,berg_B29_SE,Cyanella hyacinthoides,5,0,NA
2023,berg_B29_SE,Pennisetum clandestinum,45,0,NA
2023,berg_B29_SE,Cynodon dactylon,5,0,NA
2023,berg_B28_NW,Galenia africana,20,0,NA
2023,berg_B28_NW,Hermannia sp.,8,0,NA
2023,berg_B28_NW,Trifolium angustifolium,10,0,NA
2023,berg_B28_NW,Prostrate redstem,5,0,NA
2023,berg_B28_NW,Ehrharta longiflora,0,10,NA
2023,berg_B28_NE,Galenia africana,40,0,NA
2023,berg_B28_NE,Asparagus capensis,5,0,NA
2023,berg_B28_NE,Ehrharta longiflora,0,25,NA
2023,berg_B28_NE,Lolium perenne,0,5,NA
2023,berg_B28_SW,Galenia africana,45,0,NA
2023,berg_B28_SW,Ehrharta longiflora,0,15,NA
2023,berg_B28_SW,Trifolium angustifolium,0,5,NA
2023,berg_B28_SW,Avena fatua,0,5,NA
2023,berg_B28_SW,Bromus diandrus,0,5,NA
2023,berg_B28_SW,Hermannia sp.,5,0,NA
2023,berg_B28_SE,Galenia africana,25,0,NA
2023,berg_B28_SE,Ehrharta longiflora,0,10,NA
2023,berg_B28_SE,Trifolium angustifolium,0,10,NA
2023,berg_B28_SE,Avena fatua,0,5,NA
2023,berg_B28_SE,Bromus diandrus,0,5,NA
2023,berg_B28_SE,Asparagus capensis,10,0,NA
2023,berg_B28_SE,Pennisetum clandestinum,0,10,NA
2023,berg_B27_NW,Croton setiger,30,0,NA
2023,berg_B27_NW,Lepidium africanum,10,0,NA
2023,berg_B27_NW,Amaranthus graecizans,10,0,NA
2023,berg_B27_NW,Malva sp.,0,5,NA
2023,berg_B27_NW,Heliotropium supinum,10,0,NA
2023,berg_B27_NE,Croton setiger,15,0,NA
2023,berg_B27_NE,Amaranthus graecizans,15,0,NA
2023,berg_B27_NE,Heliotropium supinum,8,0,NA
2023,berg_B27_NE,Lepidium africanum,8,0,NA
2023,berg_B27_NE,Salsola kali,5,0,NA
2023,berg_B27_SW,Croton setiger,30,0,NA
2023,berg_B27_SW,Lepidium africanum,8,0,NA
2023,berg_B27_SW,Malva sp.,0,5,NA
2023,berg_B27_SW,Heliotropium supinum,10,0,NA
2023,berg_B27_SW,Amaranthus graecizans,5,0,NA
2023,berg_B27_SE,Croton setiger,35,0,NA
2023,berg_B27_SE,Amaranthus graecizans,10,0,NA
2023,berg_B27_SE,Heliotropium supinum,5,0,NA
2023,berg_B26_NW,Pennisetum clandestinum,5,0,NA
2023,berg_B26_NW,Bolboschoenus sp.,5,0,NA
2023,berg_B26_NW,Phragmites australis,90,0,NA
2023,berg_B26_NE,Phragmites australis,100,0,NA
2023,berg_B26_SW,Phragmites australis,100,0,NA
2023,berg_B26_SE,Phragmites australis,100,0,NA
2023,berg_B25_NW,Phragmites australis,5,0,NA
2023,berg_B25_NW,Juncus acutus,5,0,NA
2023,berg_B25_NW,Eragrostis sp. ,10,0,NA
2023,berg_B25_NW,Cotula coronopifolia,5,0,NA
2023,berg_B25_NE,Eragrostis sp. ,35,0,NA
2023,berg_B25_NE,Cotula coronopifolia,10,0,NA
2023,berg_B25_NE,Phragmites australis,5,0,NA
2023,berg_B25_NE,Juncus acutus,5,0,NA
2023,berg_B25_NE,Hordeum sp.,5,0,NA
2023,berg_B25_NE,Lolium perenne,5,0,NA
2023,berg_B25_SE,Eragrostis sp. ,30,0,NA
2023,berg_B25_SE,Juncus acutus,5,0,NA
2023,berg_B25_SW,Juncus acutus,15,0,NA
2023,berg_B25_SW,Eragrostis sp. ,10,0,NA
2023,berg_B24_NW,Galenia africana,0,5,NA
2023,berg_B24_NW,Berkheya rigida,5,0,NA
2023,berg_B24_NW,Phragmites australis,5,0,NA
2023,berg_B24_NW,Acacia saligna,5,0,NA
2023,berg_B24_NW,Cynodon dactylon,5,0,NA
2023,berg_B24_NW,Galenia africana,5,0,NA
2023,berg_B24_NW,Ehrharta erecta,0,20,NA
2023,berg_B24_NW,Brous diandrus,0,10,NA
2023,berg_B24_NW,Avena fatua,0,35,NA
2023,berg_B24_NE,Avena fatua,0,42.5,NA
2023,berg_B24_NE,Ehrharta erecta,0,32.5,NA
2023,berg_B24_NE,Malva sp.,0,15,NA
2023,berg_B24_NE,Oncosiphon suffruticosus,5,0,NA
2023,berg_B24_NE,Galenia africana,5,0,NA
2023,berg_B24_SW,Bromus diandrus,0,15,NA
2023,berg_B24_SW,Galenia africana,10,0,NA
2023,berg_B24_SW,Acacia saligna,5,0,NA
2023,berg_B24_SW,Oncosiphon suffruticosus,5,0,NA
2023,berg_B24_SW,Cynodon dactylon,0,10,NA
2023,berg_B24_SW,Ehrharta erecta,0,10,NA
2023,berg_B24_SW,Avena fatua,0,40,NA
2023,berg_B24_SE,Galenia africana,30,0,NA
2023,berg_B24_SE,Phragmites australis,5,0,NA
2023,berg_B24_SE,Oncosiphon suffruticosus,0,5,NA
2023,berg_B24_SE,Bromus diandrus,0,5,NA
2023,berg_B24_SE,Avena fatua,0,35,NA
2023,berg_B24_SE,Ehrharta erecta,0,20,NA
2023,berg_B23_NW,Oncosiphon suffruticosus,35,0,NA
2023,berg_B23_NW,Bromus diandrus,0,35,NA
2023,berg_B23_NW,Diplachne capensis,0,30,NA
2023,berg_B23_NE,Oncosiphon suffruticosus,20,0,NA
2023,berg_B23_NE,Vetch,0,5,NA
2023,berg_B23_NE,Bromus diandrus,0,30,NA
2023,berg_B23_NE,Lolium perenne,0,20,NA
2023,berg_B23_NE,Diplachne capensis,0,20,NA
2023,berg_B23_SW,Oncosiphon suffruticosus,10,0,NA
2023,berg_B23_SW,Avena fatua,0,5,NA
2023,berg_B23_SW,Ehrharta erecta,0,50,NA
2023,berg_B23_SW,Diplachne capensis,0,30,NA
2023,berg_B23_SW,Bromus diandrus,0,5,NA
2023,berg_B23_SE,Oncosiphon suffruticosus,10,0,NA
2023,berg_B23_SE,Oncosiphon grandiflorus,5,0,NA
2023,berg_B23_SE,Diplachne capensis,0,50,NA
2023,berg_B23_SE,Bromus diandrus,0,15,NA
2023,berg_B23_SE,Lolium perenne,0,5,NA
2023,berg_B23_SE,Ehrharta erecta,0,5,NA
2023,berg_B22_NW,Galenia africana,40,0,NA
2023,berg_B22_NW,Ehrharta calycina,35,0,NA
2023,berg_B22_NW,Buddleja saligna,5,0,NA
2023,berg_B22_NW,Setaria sp.,5,0,NA
2023,berg_B22_NE,Buddleja saligna,15,0,NA
2023,berg_B22_NE,Galenia africana,20,0,NA
2023,berg_B22_NE,Setaria sp.,5,0,NA
2023,berg_B22_NE,Ehrharta calycina,40,0,NA
2023,berg_B22_SW,Galenia africana,40,5,NA
2023,berg_B22_SW,Setaria sp.,10,0,NA
2023,berg_B22_SW,Ehrharta calycina,35,0,NA
2023,berg_B22_SE,Galenia africana,75,5,NA
2023,berg_B22_SE,Ehrharta calycina,10,0,NA
2023,berg_B22_SE,Setaria sp.,5,0,NA
2023,berg_B21_NW,Lobelia erinus,5,0,NA
2023,berg_B21_NW,Lanceolate dentate weed,5,0,NA
2023,berg_B21_NW,Cynodon sp.,10,0,NA
2023,berg_B21_NW,Lolium perenne,0,30,NA
2023,berg_B21_NW,Setaria sp.,0,20,NA
2023,berg_B21_NE,Cynodon sp.,10,0,NA
2023,berg_B21_NE,Lolium perenne,0,43,NA
2023,berg_B21_NE,Setaria sp.,0,43,NA
2023,berg_B21_SE,Nothoscordum gracile,5,0,NA
2023,berg_B21_SE,Cynodon sp.,10,0,NA
2023,berg_B21_SE,Setaria sp. ,15,20,NA
2023,berg_B21_SE,Lolium perenne,50,0,NA
2023,berg_B21_SW,Quercus sp. ,5,0,NA
2023,berg_B21_SW,Lanceolate dentate weed,5,0,NA
2023,berg_B21_SW,Cynodon sp. ,10,0,NA
2023,berg_B21_SW,baby bunch rush,5,0,NA
2023,berg_B21_SW,Setaria sp.,5,20,NA
2023,berg_B21_SW,Lolium sp.,25,0,NA
2023,berg_B20_NW,Eucalyptus camaldulensis,70,0,NA
2023,berg_B20_NW,Lolium perenne,20,0,NA
2023,berg_B20_NW,Cynodon dactylon,10,0,NA
2023,berg_B20_NE,Eucalyptus camaldulensis,80,0,NA
2023,berg_B20_NE,Lolium perenne,10,0,NA
2023,berg_B20_NE,Cynodon dactylon,5,0,NA
2023,berg_B20_SW,Eucalyptus camaldulensis,10,0,NA
2023,berg_B20_SW,rush,5,0,NA
2023,berg_B20_SW,Lolium perenne,50,0,NA
2023,berg_B20_SW,Cynodon dactylon,35,0,NA
2023,berg_B20_SE,Eucalyptus camaldulensis,20,0,NA
2023,berg_B20_SE,Cynodon dactylon,40,0,NA
2023,berg_B20_SE,Lolium perenne,40,0,NA
2023,berg_B19_NW,Galenia africana,25,0,NA
2023,berg_B19_NW,Oncosiphon pilulifer,5,0,NA
2023,berg_B19_NE,Galenia africana,25,0,NA
2023,berg_B19_NE,Cynodon dactylon,15,0,NA
2023,berg_B19_NE,Oncosiphon pilulifer,5,0,NA
2023,berg_B19_NE,Drosera capensis,0,10,NA
2023,berg_B19_SW,Galenia africana,25,0,NA
2023,berg_B19_SW,Oncosiphon pilulifer,5,0,NA
2023,berg_B19_SE,Galenia africana,50,0,NA
2023,berg_B19_SE,Oncosiphon pilulifer,10,0,NA
2023,berg_B18_NW,Cynodon dactylon,10,0,NA
2023,berg_B18_NW,Eucalyptus camaldulensis,25,0,NA
2023,berg_B18_NW,Casuarina cunninghamiana,15,0,NA
2023,berg_B18_NW,Arundo donax,30,0,NA
2023,berg_B18_NE,Arundo donax,30,0,NA
2023,berg_B18_NE,Eucalyptus camaldulensis,15,0,NA
2023,berg_B18_SW,Eucalyptus camaldulensis,75,0,NA
2023,berg_B18_SW,Casuarina cunninghamiana,10,0,NA
2023,berg_B18_SE,Arundo donax,20,0,NA
2023,berg_B18_SE,Casuarina cunninghamiana,20,0,NA
2023,berg_B17_NW,Cliffortia strobilifera,10,0,NA
2023,berg_B17_NW,Prionium serratum,90,0,NA
2023,berg_B17_NE,Cliffortia strobilifera,5,0,NA
2023,berg_B17_NE,Salix mucronata,5,0,NA
2023,berg_B17_NE,Prionium serratum,80,0,NA
2023,berg_B17_SW,Cyperus eragrostis,15,0,NA
2023,berg_B17_SW,Sesbania punicea,5,0,NA
2023,berg_B17_SW,Bulbinella nutans,5,0,NA
2023,berg_B17_SW,Cliffortia strobilifera,70,0,NA
2023,berg_B17_SE,Cliffortia strobilifera,50,0,NA
2023,berg_B17_SE,Mentha longifolia,5,0,NA
2023,berg_B17_SE,Salix mucronata,5,0,NA
2023,berg_B17_SE,Persicaria sp.,5,0,NA
2023,berg_B17_SE,Cyperus eragrostis,30,0,NA
2023,berg_B16_NW,Kiggelaria africana,30,0,NA
2023,berg_B16_NW,Pennisetum macrourum,25,0,NA
2023,berg_B16_NW,Lolium perenne,20,0,NA
2023,berg_B16_NW,Rumex cordatus,15,0,NA
2023,berg_B16_NE,Pennisetum macrourum,75,0,NA
2023,berg_B16_NE,Rumex crispus,5,0,NA
2023,berg_B16_NE,Rumex cordatus,10,0,NA
2023,berg_B16_NE,Lolium perenne,5,0,NA
2023,berg_B16_SW,Pennisetum macrourum,25,0,NA
2023,berg_B16_SW,Lolium perenne,25,0,NA
2023,berg_B16_SW,Rumex crispus,5,0,NA
2023,berg_B16_SW,Verbena litoralis,5,0,NA
2023,berg_B16_SW,Kiggelaria africana,8,0,NA
2023,berg_B16_SW,Rumex cordatus,20,0,NA
2023,berg_B16_SE,Lolium perenne,5,0,NA
2023,berg_B16_SE,Rumex cordatus,60,0,NA
2023,berg_B16_SE,Rumex crispus,7,0,NA
2023,berg_B16_SE,Pennisetum macrourum,13,0,NA
2023,berg_B15_NW,Phragmites australis,100,0,NA
2023,berg_B15_NE,Phragmites australis,100,0,NA
2023,berg_B15_SW,Phragmites australis,100,0,NA
2023,berg_B15_SE,Phragmites australis,100,0,NA
2023,berg_B14_NW,Avena fatua,25,0,NA
2023,berg_B14_NW,Lolium arundinaceum,15,0,NA
2023,berg_B14_NW,Pennisetum clandestinum,20,0,NA
2023,berg_B14_NW,Echium plantagineum,5,0,NA
2023,berg_B14_NW,Bromus diandrus,5,0,NA
2023,berg_B14_NE,Lobelia erinus,5,0,NA
2023,berg_B14_NE,Avena fatua,10,0,NA
2023,berg_B14_NE,Echium plantagineum,5,0,NA
2023,berg_B14_NE,Lolium perenne,5,0,NA
2023,berg_B14_NE,Lolium arundinaceum,5,0,NA
2023,berg_B14_NE,Cynodon dactylon,5,0,NA
2023,berg_B14_NE,Ficus ingens,5,0,NA
2023,berg_B14_SW,Bromus diandrus,25,0,NA
2023,berg_B14_SW,Avena fatua,5,0,NA
2023,berg_B14_SW,Lolium perenne,5,0,NA
2023,berg_B14_SW,Pennisetum clandestinum,55,0,NA
2023,berg_B14_SE,Lolium arundinaceum,20,0,NA
2023,berg_B14_SE,Pennisetum clandestinum,35,0,NA
2023,berg_B14_SE,Avena fatua,5,0,NA
2023,berg_B14_SE,Bromus diandrus,10,0,NA
2023,berg_B14_SE,Erodium moschatum,5,0,NA
2023,berg_B13_NW,Kiggelaria africana,70,0,NA
2023,berg_B13_NW,Ehrharta longiflora,5,0,NA
2023,berg_B13_NW,Senecio pterophorus,5,0,NA
2023,berg_B13_NW,Pennisetum clandestinum,10,0,NA
2023,berg_B13_NE,Raphanus raphanistrum,5,0,NA
2023,berg_B13_NE,Kiggelaria africana,20,0,NA
2023,berg_B13_NE,Searsia glauca,10,0,NA
2023,berg_B13_NE,Lolium perenne,5,0,NA
2023,berg_B13_NE,Tropaeolum majus,5,0,NA
2023,berg_B13_NE,Senecio pterophorus,15,0,NA
2023,berg_B13_NE,Ehrharta longiflora,15,0,NA
2023,berg_B13_SW,Kiggelaria africana,20,0,NA
2023,berg_B13_SW,Searsia glauca,10,0,NA
2023,berg_B13_SW,Senecio pterophorus,35,0,NA
2023,berg_B13_SW,Echium plantagineum,5,0,NA
2023,berg_B13_SW,Pennisetum clandestinum,15,0,NA
2023,berg_B13_SW,Bromus diandrus,5,0,NA
2023,berg_B13_SE,Senecio pterophorus,60,0,NA
2023,berg_B13_SE,Ehrharta longiflora,10,0,NA
2023,berg_B13_SE,Bromus diandrus,5,0,NA
2023,berg_B12_NW,Lolium perenne,30,0,NA
2023,berg_B12_NW,Senecio pterophorus,25,0,NA
2023,berg_B12_NW,Persicaria senegalensis,20,0,NA
2023,berg_B12_NW,Rumex crispus,5,0,NA
2023,berg_B12_NE,Lolium perenne,25,0,NA
2023,berg_B12_NE,Persicaria senegalensis,15,0,NA
2023,berg_B12_NE,Populus alba,5,0,NA
2023,berg_B12_NE,Xanthium strumarium,10,0,NA
